Date,Close,High,Low,Open,Volume
1/8/2015,37.44545746,37.82242371,37.31980204,37.44545746,200888
1/11/2015,38.0737381,38.0737381,37.31980553,37.31980553,127281
1/12/2015,38.0737381,38.19939671,37.94808267,38.0737381,226352
1/13/2015,38.19939804,38.32505347,37.57111769,37.57111769,259862
1/14/2015,38.95333099,39.33029726,38.07373666,38.19939527,438028
1/15/2015,39.33029556,39.33029556,38.57635987,39.07898473,275133
1/18/2015,38.82767105,39.45595133,38.32504938,39.07898508,547206
1/19/2015,39.45595551,39.8329218,39.07898921,39.07898921,568714
1/20/2015,39.58161163,39.70726707,39.33030076,39.33030076,134245
1/21/2015,39.58161163,39.95858112,39.20464533,39.4559562,292403
1/22/2015,39.70726776,39.70726776,39.33030145,39.33030145,235213
1/26/2015,40.71250534,40.71250534,40.33553596,40.33553596,768861
1/27/2015,40.71250534,40.96381614,40.46119136,40.71250534,807216
1/28/2015,41.46644974,41.46644974,40.712514,40.712514,648094
1/29/2015,42.22037506,42.22037506,40.83816243,40.96381784,806500
2/1/2015,43.09997177,44.23087693,42.97431635,43.47694122,811160
2/2/2015,42.47169495,43.60259693,42.34603634,43.60259693,769531
2/3/2015,41.96907043,42.84866158,41.71775959,42.72300616,794927
2/4/2015,40.96382523,42.09472725,40.8381698,41.8434164,583884
2/5/2015,40.83816528,41.21513152,40.20988503,40.83816528,721222
2/8/2015,41.59209824,41.71775364,41.08947343,41.21512884,433518
2/9/2015,41.08948135,41.96907254,40.20989017,41.46645083,769852
2/10/2015,40.96382523,41.46645012,40.20988948,41.08948065,512399
2/11/2015,40.83816528,40.83816528,40.33554045,40.71250987,650659
2/12/2015,40.96382523,41.08948065,40.33554491,40.71251437,478055
2/15/2015,41.34078598,41.7177554,40.71250893,40.71250893,911588
2/16/2015,41.21513367,41.96906937,40.83816741,40.83816741,800676
2/17/2015,41.46644974,41.71776059,40.712514,41.2151357,445687
2/18/2015,41.21513367,41.59210311,40.71251199,41.21513367,495072
2/19/2015,41.71775818,41.71775818,40.46119762,40.96382248,457134
2/22/2015,41.21513367,41.96906937,41.21513367,41.46644769,513476
2/23/2015,41.59209824,41.84340904,40.96381803,40.96381803,370494
2/24/2015,41.46644974,41.96907144,41.2151357,41.59210516,484522
2/25/2015,41.70267868,41.96907009,41.21513437,41.4664484,306746
2/26/2015,40.97889709,41.34078595,40.7125089,41.21513054,564683
3/1/2015,41.21010971,41.34079199,40.71251485,41.08948114,256643
3/2/2015,41.61722946,41.71775379,41.21512898,41.21512898,438467
3/3/2015,41.47650146,41.96907266,41.46645094,41.59210637,257925
3/4/2015,41.46644974,41.71776059,41.2151357,41.59210516,325233
3/5/2015,41.69262695,41.71775804,41.4664472,41.4664472,350360
3/8/2015,43.22562408,43.47693489,41.96906369,41.96906369,1470017
3/9/2015,43.22562408,43.47693489,41.96906369,41.96906369,1470017
3/10/2015,43.35128403,43.35128403,42.84865918,42.97431459,801767
3/11/2015,43.97956467,44.10522328,42.5973518,42.84866265,795800
3/12/2015,43.97956467,44.48218956,43.85390924,44.10522328,1144210
3/15/2015,44.35652542,44.35652542,43.09996504,43.47693443,706924
3/16/2015,43.09997177,44.23087693,42.34603606,43.85390748,1446024
3/17/2015,42.59734344,43.09996505,42.47168804,42.97430965,769654
3/18/2015,41.71775818,42.84866013,41.71775818,42.47169387,624338
3/19/2015,43.47693253,43.60258792,42.47168618,42.84865236,475443
3/22/2015,43.22562408,43.8539011,42.72299929,43.35127949,493692
3/23/2015,45.36177444,45.48742985,42.72300131,42.84865672,928150
3/24/2015,44.60784531,46.1157168,44.35653445,45.36178105,1056975
3/25/2015,42.8486557,45.23611796,42.8486557,45.11046255,656532
3/26/2015,44.23087692,44.35653234,41.3407895,41.96906979,910478
3/29/2015,44.48218536,44.85915479,44.23087454,44.35652995,383979
3/30/2015,43.97956467,44.48218956,43.60259839,44.35653413,581760
3/31/2015,43.72825241,44.23087728,42.22038098,44.10522186,801494
4/1/2015,43.60259247,43.97955869,43.35128165,43.72824788,252957
4/2/2015,43.47693253,43.97955411,42.72299697,43.97955411,454908
4/5/2015,42.97431946,43.47694436,42.22038369,43.47694436,168353
4/6/2015,43.35574341,44.24574385,41.32145759,41.32145759,484103
4/7/2015,43.61003113,43.99146176,43.35574619,43.35574619,347085
4/8/2015,44.50003052,44.75431867,43.61003004,43.61003004,634257
4/9/2015,44.75432205,45.008607,44.62717958,44.62717958,263853
4/12/2015,44.62717819,44.75432066,44.37289003,44.5000325,177229
4/13/2015,44.62717819,44.88146313,44.62717819,44.75432066,230252
4/14/2015,46.02574539,46.53431846,44.75431755,44.88146001,1988220
4/15/2015,46.66146851,47.42432663,45.89861038,46.28004106,828219
4/16/2015,46.28003311,46.78860295,46.28003311,46.66146049,395239
4/19/2015,46.9157486,47.80574911,46.53432119,46.53432119,1079590
4/20/2015,48.82289124,49.07717615,47.42431774,47.80574511,1369614
4/21/2015,48.06003571,48.82289372,47.80574755,48.82289372,266053
4/22/2015,47.93289948,49.07718504,47.80575377,49.07718504,306985
4/23/2015,47.80574417,48.06003231,47.55145926,47.80574417,180801
4/26/2015,46.79877853,47.67860635,46.66146338,47.67860635,968885
4/27/2015,46.50380707,47.04289179,46.0257488,47.04289179,669779
4/28/2015,46.3614006,46.66145938,45.6443165,46.66145938,722078
4/29/2015,46.1172905,46.53431907,46.02574599,46.28003414,542546
4/30/2015,45.89860153,46.40717459,45.77145907,46.15288967,776036
5/3/2015,45.70026398,46.15289375,45.64432065,46.15289375,384958
5/4/2015,46.0104866,46.28003054,45.39003014,45.7714575,836839
5/5/2015,45.685009,46.40718281,45.6443247,46.40718281,343302
5/6/2015,46.14780426,46.28003306,45.51717508,45.51717508,635492
5/7/2015,46.16814423,46.28003088,45.64431538,46.15288842,175701
5/10/2015,46.20883179,46.40717661,45.89860353,46.28003415,95400
5/11/2015,45.78163147,46.28003184,45.77145878,46.28003184,214856
5/12/2015,46.03591919,46.15289219,45.64431911,45.64431911,159338
5/13/2015,46.08677292,46.28003139,46.02574325,46.02574325,510947
5/14/2015,45.89860153,46.40717459,45.89860153,46.40717459,270925
5/17/2015,46.2190094,46.28003908,45.77146594,45.89860842,258606
5/18/2015,46.03082657,46.28002835,45.77145533,46.28002835,374805
